Protocol,Treatment_Group,Stage,Mean_Involvement,Median_Involvement,Std_Involvement,Count
proto1,Active,pre,1.936837127889948,1.215050051777701,1.287870597734614,9
proto1,Active,stim,2.397178479455993,0.9078356920952709,2.1528633854799515,9
proto1,Active,post,2.9732878563322114,1.288345937560597,2.680099363099212,9
proto1,SHAM,pre,1.6026590498368336,1.4030349436168732,1.1414030431778666,5
proto1,SHAM,stim,1.5936030504609942,1.0011710504013929,1.9878439253550144,5
proto1,SHAM,post,0.8324419002589126,0.5385980787971599,0.9915478403619004,5
proto2,Active,pre,2.8816112492818338,1.662885398487493,2.1910363283151137,9
proto2,Active,stim,4.131880871158434,3.184974089262683,3.1357670871006538,9
proto2,Active,post,3.1871688247530616,2.9274113204049956,2.6302947031776975,9
proto2,SHAM,pre,1.007827039355567,0.8192737624106089,0.7443809540328885,5
proto2,SHAM,stim,1.3883770886979887,0.7799301071536021,0.9494424114586354,5
proto2,SHAM,post,1.8284913918949908,0.5055571557692117,1.9594039378130295,5
proto3,Active,pre,2.729808169304093,2.6344062823610632,2.1664317283007977,9
proto3,Active,stim,3.5410880314142,1.9211169284467715,3.261558026160454,9
proto3,Active,post,3.592702642567009,3.6765561372891216,2.7605852252866425,9
proto3,SHAM,pre,0.7588009452727855,0.2767155669888062,0.6855031185543322,5
proto3,SHAM,stim,0.8543881037240457,0.26799972228008057,1.1490403667572844,5
proto3,SHAM,post,1.1679914260006221,1.232075734372825,0.7875382870333814,5
proto4,Active,pre,3.457877664447626,3.490401396160558,2.8781287592215317,9
proto4,Active,stim,3.945644436550567,2.9452471357890753,2.4664220646147,9
proto4,Active,post,2.8646193473981594,2.5405591991715566,2.0028498502177228,9
proto4,SHAM,pre,1.810982974348769,1.7606807318626894,0.24098324702198895,5
proto4,SHAM,stim,1.8236465827445465,1.5661979674230826,1.1502310610426338,5
proto4,SHAM,post,1.2113904212231938,0.9281173140284932,0.8713143656464365,5
proto5,Active,pre,1.7027742106594728,1.2861342479176874,1.2352021730763845,9
proto5,Active,stim,2.05284037284962,1.6827752847773558,1.7212452670351903,9
proto5,Active,post,2.598043943622319,1.4838084157455886,2.203122163840879,9
proto5,SHAM,pre,2.0627656573895807,0.3817470222961833,3.058880306790793,5
proto5,SHAM,stim,1.056855121829492,0.5608480340486467,0.6743984187327354,5
proto5,SHAM,post,0.9741455028767543,0.7867254088305261,0.8509405353853403,5
proto6,Active,pre,2.1940582146137135,1.3408663377311048,1.793092693706252,9
proto6,Active,stim,2.867421618181808,2.2962679114703084,2.2682238130451573,9
proto6,Active,post,3.682828956037962,1.7434554973821987,5.203142521761652,9
proto6,SHAM,pre,1.0455820244293728,1.0998190171237643,0.5347104455759099,5
proto6,SHAM,stim,1.2956227699009988,0.9816095399173607,1.13004723379317,5
proto6,SHAM,post,1.644593052479599,1.4339412501740219,1.1151862009622597,5
proto7,Active,pre,2.573540347967388,2.2048212338460824,2.1810879087014543,9
proto7,Active,stim,2.947880382941868,2.181298091279971,2.704218222855643,9
proto7,Active,post,2.7501595401765027,2.1136400547551104,2.4036604147358642,9
proto7,SHAM,pre,2.079392765737942,2.675298157687132,1.5220049735254584,5
proto7,SHAM,stim,1.9195813112064837,2.0620704019995837,1.5326525710341738,5
proto7,SHAM,post,2.610309446300428,1.1577449142539749,3.4965226403483665,5
proto8,Active,pre,3.343241837411612,1.012541709814751,3.694205346459826,9
proto8,Active,stim,3.346872426368439,1.4839785917842496,3.0909014772729364,9
proto8,Active,post,3.3071873203694695,1.8044251099260924,3.6381491610504613,9
proto8,SHAM,pre,2.6197980596210617,0.4467079190711256,4.029131343100158,5
proto8,SHAM,stim,1.6532784154753415,0.34995017265753553,2.7575119812546176,5
proto8,SHAM,post,1.7032713009353686,2.1949974476773866,1.1810764938273857,5
overall,Active,pre,2.7770775163340446,2.370730491149339,2.0277677956815223,9
overall,Active,stim,3.228337138237934,2.7814365834236168,2.2306067446178313,9
overall,Active,post,3.176917787513273,1.9377488907785176,2.4658442299568075,9
overall,SHAM,pre,1.5699136996728957,1.6821207388732746,0.9820385133614484,5
overall,SHAM,stim,1.5329883424862771,1.3367506194136325,0.9279180076327921,5
overall,SHAM,post,1.5262211019720602,1.3679302097492987,1.1302807917487767,5
