Protocol,Stage,Mean_Involvement,Median_Involvement,Std_Involvement,Count
proto3,pre,9.209576752008743,8.743662754357942,3.306340717752451,23
proto3,stim,8.641803828969604,8.92423084936454,0.4142318741033108,3
proto3,post,9.878545487227461,10.073616223348843,4.04825811584943,34
proto2,pre,10.100238442484434,11.52857837349816,4.118657099597625,21
proto2,stim,11.09972914785749,10.222932148065837,5.53198480970784,12
proto2,post,10.003009468250108,10.795888603375236,3.263875848087541,6
proto1,pre,10.069647693788259,10.299326342107092,3.7038217304757195,14
proto1,stim,8.547352825427692,9.327036599763874,3.1192638952131184,15
proto1,post,9.220321871945714,9.29925689283978,3.5732219670927035,41
proto4,pre,8.41811931384124,8.691575803875269,3.2518538310776,16
proto4,stim,9.101743176609487,9.45899020765331,3.898471918902853,25
proto4,post,7.6622384490986475,7.993610667407459,2.9771137344789396,7
