Protocol,Stage,Region,Count,Total_Waves,Percentage
proto2,pre,lingual R,14,21,66.66666666666666
proto2,pre,lateralorbitofrontal L,16,21,76.19047619047619
proto2,pre,precentral R,16,21,76.19047619047619
proto2,pre,superiortemporal R,17,21,80.95238095238095
proto2,pre,middletemporal R,17,21,80.95238095238095
proto2,pre,parstriangularis R,14,21,66.66666666666666
proto2,pre,rostralanteriorcingulate R,9,21,42.857142857142854
proto2,pre,parsorbitalis L,9,21,42.857142857142854
proto2,pre,caudalmiddlefrontal L,13,21,61.904761904761905
proto2,pre,superiorparietal L,15,21,71.42857142857143
proto2,pre,caudalanteriorcingulate L,9,21,42.857142857142854
proto2,pre,lingual L,13,21,61.904761904761905
proto2,pre,lateraloccipital L,16,21,76.19047619047619
proto2,pre,rostralmiddlefrontal R,17,21,80.95238095238095
proto2,pre,superiortemporal L,15,21,71.42857142857143
proto2,pre,medialorbitofrontal L,10,21,47.61904761904761
proto2,pre,pericalcarine R,8,21,38.095238095238095
proto2,pre,entorhinal L,4,21,19.047619047619047
proto2,pre,superiorfrontal L,20,21,95.23809523809523
proto2,pre,lateralorbitofrontal R,15,21,71.42857142857143
proto2,pre,pericalcarine L,7,21,33.33333333333333
proto2,pre,superiorparietal R,17,21,80.95238095238095
proto2,pre,rostralmiddlefrontal L,18,21,85.71428571428571
proto2,pre,insula L,8,21,38.095238095238095
proto2,pre,parahippocampal L,8,21,38.095238095238095
proto2,pre,precuneus L,12,21,57.14285714285714
proto2,pre,cuneus L,13,21,61.904761904761905
proto2,pre,inferiorparietal R,14,21,66.66666666666666
proto2,pre,precentral L,18,21,85.71428571428571
proto2,pre,fusiform R,13,21,61.904761904761905
proto2,pre,postcentral L,15,21,71.42857142857143
proto2,pre,middletemporal L,18,21,85.71428571428571
proto2,pre,supramarginal L,11,21,52.38095238095239
proto2,pre,superiorfrontal R,19,21,90.47619047619048
proto2,pre,rostralanteriorcingulate L,7,21,33.33333333333333
proto2,pre,lateraloccipital R,17,21,80.95238095238095
proto2,pre,inferiorparietal L,15,21,71.42857142857143
proto2,pre,fusiform L,10,21,47.61904761904761
proto2,pre,paracentral R,11,21,52.38095238095239
proto2,pre,inferiortemporal L,18,21,85.71428571428571
proto2,pre,supramarginal R,7,21,33.33333333333333
proto2,pre,postcentral R,12,21,57.14285714285714
proto2,pre,inferiortemporal R,16,21,76.19047619047619
proto2,pre,caudalmiddlefrontal R,14,21,66.66666666666666
proto2,pre,parstriangularis L,9,21,42.857142857142854
proto2,pre,parsopercularis R,11,21,52.38095238095239
proto2,pre,precuneus R,14,21,66.66666666666666
proto2,pre,parsorbitalis R,10,21,47.61904761904761
proto2,pre,caudalanteriorcingulate R,8,21,38.095238095238095
proto2,pre,medialorbitofrontal R,10,21,47.61904761904761
proto2,pre,cuneus R,11,21,52.38095238095239
proto2,pre,transversetemporal L,2,21,9.523809523809524
proto2,pre,insula R,11,21,52.38095238095239
proto2,pre,parsopercularis L,9,21,42.857142857142854
proto2,pre,entorhinal R,5,21,23.809523809523807
proto2,pre,posteriorcingulate R,5,21,23.809523809523807
proto2,pre,parahippocampal R,6,21,28.57142857142857
proto2,pre,transversetemporal R,1,21,4.761904761904762
proto2,pre,paracentral L,6,21,28.57142857142857
proto2,pre,isthmuscingulate L,3,21,14.285714285714285
proto2,pre,isthmuscingulate R,2,21,9.523809523809524
proto2,pre,posteriorcingulate L,5,21,23.809523809523807
proto2,stim,lingual R,8,12,66.66666666666666
proto2,stim,posteriorcingulate R,4,12,33.33333333333333
proto2,stim,lateralorbitofrontal L,8,12,66.66666666666666
proto2,stim,precentral R,9,12,75.0
proto2,stim,parstriangularis R,6,12,50.0
proto2,stim,rostralanteriorcingulate R,8,12,66.66666666666666
proto2,stim,parsorbitalis L,7,12,58.333333333333336
proto2,stim,postcentral R,8,12,66.66666666666666
proto2,stim,caudalmiddlefrontal L,5,12,41.66666666666667
proto2,stim,caudalanteriorcingulate R,5,12,41.66666666666667
proto2,stim,caudalanteriorcingulate L,4,12,33.33333333333333
proto2,stim,lateraloccipital L,9,12,75.0
proto2,stim,rostralmiddlefrontal R,10,12,83.33333333333334
proto2,stim,superiortemporal L,10,12,83.33333333333334
proto2,stim,medialorbitofrontal R,7,12,58.333333333333336
proto2,stim,medialorbitofrontal L,7,12,58.333333333333336
proto2,stim,entorhinal L,7,12,58.333333333333336
proto2,stim,parstriangularis L,5,12,41.66666666666667
proto2,stim,superiorfrontal L,11,12,91.66666666666666
proto2,stim,lateralorbitofrontal R,9,12,75.0
proto2,stim,insula L,5,12,41.66666666666667
proto2,stim,rostralmiddlefrontal L,11,12,91.66666666666666
proto2,stim,inferiorparietal R,6,12,50.0
proto2,stim,parsopercularis R,6,12,50.0
proto2,stim,middletemporal L,10,12,83.33333333333334
proto2,stim,superiorfrontal R,11,12,91.66666666666666
proto2,stim,rostralanteriorcingulate L,7,12,58.333333333333336
proto2,stim,fusiform L,10,12,83.33333333333334
proto2,stim,paracentral R,5,12,41.66666666666667
proto2,stim,inferiortemporal L,9,12,75.0
proto2,stim,supramarginal R,5,12,41.66666666666667
proto2,stim,superiortemporal R,8,12,66.66666666666666
proto2,stim,middletemporal R,8,12,66.66666666666666
proto2,stim,superiorparietal L,4,12,33.33333333333333
proto2,stim,lingual L,7,12,58.333333333333336
proto2,stim,pericalcarine R,3,12,25.0
proto2,stim,superiorparietal R,6,12,50.0
proto2,stim,cuneus L,4,12,33.33333333333333
proto2,stim,postcentral L,8,12,66.66666666666666
proto2,stim,supramarginal L,3,12,25.0
proto2,stim,cuneus R,3,12,25.0
proto2,stim,lateraloccipital R,9,12,75.0
proto2,stim,inferiorparietal L,5,12,41.66666666666667
proto2,stim,parsorbitalis R,4,12,33.33333333333333
proto2,stim,inferiortemporal R,8,12,66.66666666666666
proto2,stim,caudalmiddlefrontal R,8,12,66.66666666666666
proto2,stim,parahippocampal L,4,12,33.33333333333333
proto2,stim,precuneus L,5,12,41.66666666666667
proto2,stim,precentral L,6,12,50.0
proto2,stim,fusiform R,7,12,58.333333333333336
proto2,stim,paracentral L,4,12,33.33333333333333
proto2,stim,parahippocampal R,3,12,25.0
proto2,stim,posteriorcingulate L,2,12,16.666666666666664
proto2,stim,parsopercularis L,4,12,33.33333333333333
proto2,stim,precuneus R,2,12,16.666666666666664
proto2,stim,insula R,3,12,25.0
proto2,stim,pericalcarine L,1,12,8.333333333333332
proto2,stim,entorhinal R,2,12,16.666666666666664
proto2,stim,isthmuscingulate L,1,12,8.333333333333332
proto2,stim,isthmuscingulate R,1,12,8.333333333333332
proto2,post,precentral R,4,6,66.66666666666666
proto2,post,middletemporal R,5,6,83.33333333333334
proto2,post,parahippocampal R,3,6,50.0
proto2,post,parstriangularis R,3,6,50.0
proto2,post,postcentral R,5,6,83.33333333333334
proto2,post,caudalmiddlefrontal L,4,6,66.66666666666666
proto2,post,superiorparietal L,4,6,66.66666666666666
proto2,post,inferiortemporal R,5,6,83.33333333333334
proto2,post,lingual L,5,6,83.33333333333334
proto2,post,lateraloccipital L,4,6,66.66666666666666
proto2,post,rostralmiddlefrontal R,3,6,50.0
proto2,post,superiortemporal L,5,6,83.33333333333334
proto2,post,medialorbitofrontal R,4,6,66.66666666666666
proto2,post,caudalmiddlefrontal R,4,6,66.66666666666666
proto2,post,superiorfrontal L,6,6,100.0
proto2,post,isthmuscingulate R,2,6,33.33333333333333
proto2,post,pericalcarine L,2,6,33.33333333333333
proto2,post,lateralorbitofrontal R,5,6,83.33333333333334
proto2,post,superiorparietal R,2,6,33.33333333333333
proto2,post,parahippocampal L,3,6,50.0
proto2,post,rostralmiddlefrontal L,5,6,83.33333333333334
proto2,post,precuneus L,3,6,50.0
proto2,post,inferiorparietal R,3,6,50.0
proto2,post,precentral L,6,6,100.0
proto2,post,fusiform R,4,6,66.66666666666666
proto2,post,parsopercularis R,3,6,50.0
proto2,post,postcentral L,4,6,66.66666666666666
proto2,post,middletemporal L,5,6,83.33333333333334
proto2,post,supramarginal L,4,6,66.66666666666666
proto2,post,superiorfrontal R,4,6,66.66666666666666
proto2,post,precuneus R,2,6,33.33333333333333
proto2,post,rostralanteriorcingulate L,3,6,50.0
proto2,post,inferiorparietal L,3,6,50.0
proto2,post,fusiform L,3,6,50.0
proto2,post,inferiortemporal L,5,6,83.33333333333334
proto2,post,supramarginal R,3,6,50.0
proto2,post,paracentral L,1,6,16.666666666666664
proto2,post,lingual R,3,6,50.0
proto2,post,lateralorbitofrontal L,5,6,83.33333333333334
proto2,post,superiortemporal R,3,6,50.0
proto2,post,parsorbitalis R,4,6,66.66666666666666
proto2,post,rostralanteriorcingulate R,3,6,50.0
proto2,post,medialorbitofrontal L,4,6,66.66666666666666
proto2,post,entorhinal L,2,6,33.33333333333333
proto2,post,isthmuscingulate L,1,6,16.666666666666664
proto2,post,insula L,3,6,50.0
proto2,post,lateraloccipital R,3,6,50.0
proto2,post,entorhinal R,1,6,16.666666666666664
proto2,post,parsorbitalis L,3,6,50.0
proto2,post,caudalanteriorcingulate R,1,6,16.666666666666664
proto2,post,parstriangularis L,4,6,66.66666666666666
proto2,post,insula R,2,6,33.33333333333333
