Protocol,Stage,Region,Count,Total_Waves,Percentage
proto1,pre,lingual R,8,14,57.14285714285714
proto1,pre,precentral R,13,14,92.85714285714286
proto1,pre,superiortemporal R,13,14,92.85714285714286
proto1,pre,middletemporal R,11,14,78.57142857142857
proto1,pre,parstriangularis R,7,14,50.0
proto1,pre,rostralanteriorcingulate R,6,14,42.857142857142854
proto1,pre,postcentral R,12,14,85.71428571428571
proto1,pre,superiorparietal L,5,14,35.714285714285715
proto1,pre,inferiortemporal R,8,14,57.14285714285714
proto1,pre,lingual L,7,14,50.0
proto1,pre,lateraloccipital L,10,14,71.42857142857143
proto1,pre,rostralmiddlefrontal R,11,14,78.57142857142857
proto1,pre,superiorfrontal L,14,14,100.0
proto1,pre,pericalcarine L,2,14,14.285714285714285
proto1,pre,lateralorbitofrontal R,10,14,71.42857142857143
proto1,pre,rostralmiddlefrontal L,12,14,85.71428571428571
proto1,pre,precentral L,11,14,78.57142857142857
proto1,pre,parsopercularis R,8,14,57.14285714285714
proto1,pre,postcentral L,10,14,71.42857142857143
proto1,pre,insula R,8,14,57.14285714285714
proto1,pre,middletemporal L,11,14,78.57142857142857
proto1,pre,superiorfrontal R,14,14,100.0
proto1,pre,precuneus R,4,14,28.57142857142857
proto1,pre,lateraloccipital R,8,14,57.14285714285714
proto1,pre,inferiorparietal L,7,14,50.0
proto1,pre,fusiform L,9,14,64.28571428571429
proto1,pre,inferiortemporal L,11,14,78.57142857142857
proto1,pre,supramarginal R,6,14,42.857142857142854
proto1,pre,paracentral L,6,14,42.857142857142854
proto1,pre,lateralorbitofrontal L,11,14,78.57142857142857
proto1,pre,parsorbitalis R,3,14,21.428571428571427
proto1,pre,caudalanteriorcingulate R,5,14,35.714285714285715
proto1,pre,medialorbitofrontal R,6,14,42.857142857142854
proto1,pre,medialorbitofrontal L,8,14,57.14285714285714
proto1,pre,pericalcarine R,2,14,14.285714285714285
proto1,pre,parstriangularis L,10,14,71.42857142857143
proto1,pre,inferiorparietal R,8,14,57.14285714285714
proto1,pre,rostralanteriorcingulate L,4,14,28.57142857142857
proto1,pre,caudalmiddlefrontal L,8,14,57.14285714285714
proto1,pre,caudalanteriorcingulate L,6,14,42.857142857142854
proto1,pre,entorhinal L,3,14,21.428571428571427
proto1,pre,caudalmiddlefrontal R,9,14,64.28571428571429
proto1,pre,precuneus L,4,14,28.57142857142857
proto1,pre,cuneus L,5,14,35.714285714285715
proto1,pre,parsopercularis L,8,14,57.14285714285714
